state,district,block,village,business_category,commodity_or_service,unit,date,year,month,season,festival_month_flag,fuel_price_index,mandi_footfall_index,historical_price_inr,historical_demand_volume,price_next_1m,price_next_3m,price_next_6m,demand_next_1m,demand_next_3m,price_volatility_3m,price_trend,pricing_recommendation
Jharkhand,Dhanbad,Baliapur,Dhangi,Dairy & Livestock,Raw Cow Milk,INR/Litre,2024-01-01,2024,1,Winter,0,89.72,100.2,43.35,323.4,44.59,44.24,41.99,330.7,300.9,0.0,Upward,Competitive Market Rate
Jharkhand,Dhanbad,Baliapur,Dhangi,Dairy & Livestock,Raw Cow Milk,INR/Litre,2024-02-01,2024,2,Winter,0,90.19,101.07,44.59,330.7,45.32,42.75,42.11,351.9,335.2,0.62,Downward,Promotional Discounting
Jharkhand,Dhanbad,Baliapur,Dhangi,Dairy & Livestock,Raw Cow Milk,INR/Litre,2024-03-01,2024,3,Summer,1,88.67,102.41,45.32,351.9,44.24,43.37,41.07,300.9,293.9,0.81,Downward,Promotional Discounting
Jharkhand,Dhanbad,Baliapur,Dhangi,Dairy & Livestock,Raw Cow Milk,INR/Litre,2024-04-01,2024,4,Summer,0,89.98,103.75,44.24,300.9,42.75,41.99,42.68,335.2,310.5,0.45,Downward,Promotional Discounting
Jharkhand,Dhanbad,Baliapur,Dhangi,Dairy & Livestock,Raw Cow Milk,INR/Litre,2024-05-01,2024,5,Summer,0,93.32,104.88,42.75,335.2,43.37,42.11,42.27,293.9,335.7,1.05,Stable,Competitive Market Rate
Jharkhand,Dhanbad,Baliapur,Dhangi,Dairy & Livestock,Raw Cow Milk,INR/Litre,2024-06-01,2024,6,Monsoon,0,94.75,104.57,43.37,293.9,41.99,41.07,42.83,310.5,334.6,0.61,Downward,Promotional Discounting
Jharkhand,Dhanbad,Baliapur,Dhangi,Dairy & Livestock,Raw Cow Milk,INR/Litre,2024-07-01,2024,7,Monsoon,0,95.01,103.63,41.99,310.5,42.11,42.68,44.08,335.7,326.6,0.57,Stable,Competitive Market Rate
Jharkhand,Dhanbad,Baliapur,Dhangi,Dairy & Livestock,Raw Cow Milk,INR/Litre,2024-08-01,2024,8,Monsoon,1,96.07,101.37,42.11,335.7,41.07,42.27,44.16,334.6,313.3,0.63,Stable,Competitive Market Rate
Jharkhand,Dhanbad,Baliapur,Dhangi,Dairy & Livestock,Raw Cow Milk,INR/Litre,2024-09-01,2024,9,Monsoon,0,94.86,103.02,41.07,334.6,42.68,42.83,45.47,326.6,335.0,0.47,Upward,Gradual Price Hike
Jharkhand,Dhanbad,Baliapur,Dhangi,Poultry & Egg Production,Broiler Live Bird,INR/Kg,2024-01-01,2024,1,Winter,0,90.01,103.69,114.55,151.9,116.28,113.13,109.99,168.2,164.3,0.0,Stable,Competitive Market Rate
Jharkhand,Dhanbad,Baliapur,Dhangi,Poultry & Egg Production,Broiler Live Bird,INR/Kg,2024-02-01,2024,2,Winter,0,89.72,103.41,116.28,168.2,118.77,114.62,112.58,190.8,154.6,0.87,Stable,Competitive Market Rate
Jharkhand,Dhanbad,Baliapur,Dhangi,Poultry & Egg Production,Broiler Live Bird,INR/Kg,2024-03-01,2024,3,Summer,1,88.03,103.86,118.77,190.8,113.13,112.48,107.27,164.3,142.4,1.73,Downward,Promotional Discounting
Jharkhand,Dhanbad,Baliapur,Dhangi,Poultry & Egg Production,Broiler Live Bird,INR/Kg,2024-04-01,2024,4,Summer,0,87.52,103.81,113.13,164.3,114.62,109.99,109.9,154.6,162.4,2.31,Downward,Promotional Discounting
Jharkhand,Dhanbad,Baliapur,Dhangi,Poultry & Egg Production,Broiler Live Bird,INR/Kg,2024-05-01,2024,5,Summer,0,87.11,102.05,114.62,154.6,112.48,112.58,110.01,142.4,177.8,2.39,Stable,Competitive Market Rate
Jharkhand,Dhanbad,Baliapur,Dhangi,Poultry & Egg Production,Broiler Live Bird,INR/Kg,2024-06-01,2024,6,Monsoon,0,86.15,103.77,112.48,142.4,109.99,107.27,113.04,162.4,157.1,0.9,Downward,Promotional Discounting
Jharkhand,Dhanbad,Baliapur,Dhangi,Poultry & Egg Production,Broiler Live Bird,INR/Kg,2024-07-01,2024,7,Monsoon,0,85.95,104.9,109.99,162.4,112.58,109.9,114.48,177.8,162.2,1.89,Stable,Competitive Market Rate
Jharkhand,Dhanbad,Baliapur,Dhangi,Poultry & Egg Production,Broiler Live Bird,INR/Kg,2024-08-01,2024,8,Monsoon,1,86.44,106.08,112.58,177.8,107.27,110.01,116.56,157.1,163.6,1.2,Downward,Promotional Discounting
